127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/js/ajax_editor.js, HTTP/1.1, 200, 0.000930
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001652
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/emmet.min.js, HTTP/1.1, 200, 0.004523
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000798
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003898
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000359
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/_2.9.12/images/files_toggle.png, HTTP/1.1, 200, 0.000514
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/default/edit/welcome/views/__init__.py, HTTP/1.1, 200, 0.048553
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000487
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.056202
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.090344
127.0.0.1, 2015-03-25 10:20:59, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.138434
127.0.0.1, 2015-03-25 10:21:00, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.190282
127.0.0.1, 2015-03-25 10:21:00, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.249828
127.0.0.1, 2015-03-25 10:21:06, GET, /admin/default/peek/welcome/views/__init__.py, HTTP/1.1, 200, 0.034488
127.0.0.1, 2015-03-25 10:21:09, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.077046
127.0.0.1, 2015-03-25 10:21:11, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.037701
127.0.0.1, 2015-03-25 10:24:43, GET, /, HTTP/1.1, 303, 0.000556
127.0.0.1, 2015-03-25 10:24:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.282844
127.0.0.1, 2015-03-25 10:24:43, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000652
127.0.0.1, 2015-03-25 10:24:57, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.072580
127.0.0.1, 2015-03-25 10:27:27, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.034985
127.0.0.1, 2015-03-25 10:27:48, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.077903
127.0.0.1, 2015-03-25 10:29:06, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.037492
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.037578
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 304, 0.000421
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 304, 0.000346
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 304, 0.000522
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 304, 0.002582
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000758
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002561
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001777
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001531
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001045
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.002324
127.0.0.1, 2015-03-25 10:36:14, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.005242
